city,latitude,longitude,month,year,rainfall,elevation,Climate_Type
Ahvaz,31.318,48.669,1.0,2000.0,68.4557,20.0,Desert Climate (BWh)
Arak,34.091,49.689,1.0,2000.0,43.0526,1708.0,Cold Semi-Arid Climate (BSk)
Ardabil,38.249,48.295,1.0,2000.0,44.991,1350.0,Humid Continental Climate (Dsb)
Bandar `Abbas,27.183,56.266,1.0,2000.0,94.6749,9.0,Hot Desert Climate (BWh)
Bandar-e Bushehr,28.923,50.82,1.0,2000.0,99.776,18.0,Hot Semi-Arid Climate (BSh)
Birjand,32.866,59.217,1.0,2000.0,34.5849,1491.0,Cold Semi-Arid Climate (BSk)
Bojnurd,37.474,57.329,1.0,2000.0,35.9112,1070.0,
Esfahan,32.653,51.667,1.0,2000.0,18.1596,1574.0,Cold Semi-Arid Climate (BSk)
Gorgan,36.839,54.434,1.0,2000.0,47.8476,155.0,
Hamadan,34.798,48.514,1.0,2000.0,52.6425,1741.0,
Ilam,33.636,46.42,1.0,2000.0,8.1616,1380.0,
Karaj,35.84,50.939,1.0,2000.0,47.6435,1321.0,
Kermanshah,34.314,47.065,1.0,2000.0,62.2324,1350.0,Mediterranean Climate (Csa)
Kerman,30.293,57.081,1.0,2000.0,65.3951,1755.0,Cold Desert Climate (BWk)
Khorramabad,33.487,48.355,1.0,2000.0,72.4345,1150.0,
Mashhad,36.297,59.605,1.0,2000.0,29.0758,985.0,Cold Semi-Arid Climate (BSk)
Orumiyeh,37.552,45.076,1.0,2000.0,32.0344,1332.0,
Qazvin,36.269,50.004,1.0,2000.0,59.1718,1278.0,
Qom,34.641,50.875,1.0,2000.0,45.7051,930.0,
Rasht,37.28,49.583,1.0,2000.0,104.1628,-5.0,Humid Subtropical Climate (Cfa)
Sanandaj,35.314,46.998,1.0,2000.0,48.4597,1480.0,Mediterranean Climate (Csa)
Sari,36.563,53.06,1.0,2000.0,92.5325,-23.0,
Semnan,35.576,53.388,1.0,2000.0,35.4011,1130.0,
Shahr-e Kord,32.326,50.859,1.0,2000.0,41.9304,2076.0,
Shiraz,29.591,52.583,1.0,2000.0,117.3235,1491.0,Mediterranean Climate (Csa)
Tabriz,38.079,46.291,1.0,2000.0,23.6687,1365.0,Cold Semi-Arid Climate (BSk)
Tehran,35.689,51.389,1.0,2000.0,39.3799,1190.0,Cold Semi-Arid Climate (BSk)
Yasuj,30.668,51.594,1.0,2000.0,81.7183,1870.0,
Yazd,31.897,54.367,1.0,2000.0,24.791,1216.0,Cold Desert Climate (BWk)
Zahedan,29.497,60.872,1.0,2000.0,25.4031,1372.0,
Zanjan,36.674,48.484,1.0,2000.0,49.786,1638.0,
Nowshahr,36.649,51.496,1.0,2000.0,104.1328,-21.0,
Ahvaz,31.318,48.669,2.0,2000.0,17.8536,20.0,Desert Climate (BWh)
Arak,34.091,49.689,2.0,2000.0,28.3617,1708.0,Cold Semi-Arid Climate (BSk)
Ardabil,38.249,48.295,2.0,2000.0,38.4617,1350.0,Humid Continental Climate (Dsb)
Bandar `Abbas,27.183,56.266,2.0,2000.0,0.3061,9.0,Hot Desert Climate (BWh)
Bandar-e Bushehr,28.923,50.82,2.0,2000.0,4.5909,18.0,Hot Semi-Arid Climate (BSh)
Birjand,32.866,59.217,2.0,2000.0,9.794,1491.0,Cold Semi-Arid Climate (BSk)
Bojnurd,37.474,57.329,2.0,2000.0,26.2192,1070.0,
Esfahan,32.653,51.667,2.0,2000.0,6.2232,1574.0,Cold Semi-Arid Climate (BSk)
Gorgan,36.839,54.434,2.0,2000.0,29.2799,155.0,
Hamadan,34.798,48.514,2.0,2000.0,24.3829,1741.0,
Ilam,33.636,46.42,2.0,2000.0,17.2414,1380.0,
Karaj,35.84,50.939,2.0,2000.0,33.8708,1321.0,
Kermanshah,34.314,47.065,2.0,2000.0,30.9122,1350.0,Mediterranean Climate (Csa)
Kerman,30.293,57.081,2.0,2000.0,101.6123,1755.0,Cold Desert Climate (BWk)
Khorramabad,33.487,48.355,2.0,2000.0,52.3365,1150.0,
Mashhad,36.297,59.605,2.0,2000.0,24.4849,985.0,Cold Semi-Arid Climate (BSk)
Orumiyeh,37.552,45.076,2.0,2000.0,24.995,1332.0,
Qazvin,36.269,50.004,2.0,2000.0,40.2981,1278.0,
Qom,34.641,50.875,2.0,2000.0,25.3011,930.0,
Rasht,37.28,49.583,2.0,2000.0,63.6607,-5.0,Humid Subtropical Climate (Cfa)
Sanandaj,35.314,46.998,2.0,2000.0,26.2192,1480.0,Mediterranean Climate (Csa)
Sari,36.563,53.06,2.0,2000.0,48.3577,-23.0,
Semnan,35.576,53.388,2.0,2000.0,25.4031,1130.0,
Shahr-e Kord,32.326,50.859,2.0,2000.0,17.0374,2076.0,
Shiraz,29.591,52.583,2.0,2000.0,6.3253,1491.0,Mediterranean Climate (Csa)
Tabriz,38.079,46.291,2.0,2000.0,23.1586,1365.0,Cold Semi-Arid Climate (BSk)
Tehran,35.689,51.389,2.0,2000.0,30.3001,1190.0,Cold Semi-Arid Climate (BSk)
Yasuj,30.668,51.594,2.0,2000.0,11.0182,1870.0,
Yazd,31.897,54.367,2.0,2000.0,4.1828,1216.0,Cold Desert Climate (BWk)
Zahedan,29.497,60.872,2.0,2000.0,0.204,1372.0,
Zanjan,36.674,48.484,2.0,2000.0,34.789,1638.0,
Nowshahr,36.649,51.496,2.0,2000.0,63.640699999999995,-21.0,
Ahvaz,31.318,48.669,3.0,2000.0,7.4475,20.0,Desert Climate (BWh)
Arak,34.091,49.689,3.0,2000.0,27.1374,1708.0,Cold Semi-Arid Climate (BSk)
Ardabil,38.249,48.295,3.0,2000.0,85.187,1350.0,Humid Continental Climate (Dsb)
Bandar `Abbas,27.183,56.266,3.0,2000.0,9.3859,9.0,Hot Desert Climate (BWh)
Bandar-e Bushehr,28.923,50.82,3.0,2000.0,1.2242,18.0,Hot Semi-Arid Climate (BSh)
Birjand,32.866,59.217,3.0,2000.0,15.3031,1491.0,Cold Semi-Arid Climate (BSk)
Bojnurd,37.474,57.329,3.0,2000.0,24.4849,1070.0,
Esfahan,32.653,51.667,3.0,2000.0,4.2849,1574.0,Cold Semi-Arid Climate (BSk)
Gorgan,36.839,54.434,3.0,2000.0,19.4859,155.0,
Hamadan,34.798,48.514,3.0,2000.0,47.2354,1741.0,
Ilam,33.636,46.42,3.0,2000.0,27.1374,1380.0,
Karaj,35.84,50.939,3.0,2000.0,38.7678,1321.0,
Kermanshah,34.314,47.065,3.0,2000.0,62.7425,1350.0,Mediterranean Climate (Csa)
Kerman,30.293,57.081,3.0,2000.0,30.8102,1755.0,Cold Desert Climate (BWk)
Khorramabad,33.487,48.355,3.0,2000.0,72.8426,1150.0,
Mashhad,36.297,59.605,3.0,2000.0,15.099,985.0,Cold Semi-Arid Climate (BSk)
Orumiyeh,37.552,45.076,3.0,2000.0,30.7081,1332.0,
Qazvin,36.269,50.004,3.0,2000.0,63.8648,1278.0,
Qom,34.641,50.875,3.0,2000.0,24.791,930.0,
Rasht,37.28,49.583,3.0,2000.0,72.8426,-5.0,Humid Subtropical Climate (Cfa)
Sanandaj,35.314,46.998,3.0,2000.0,67.6395,1480.0,Mediterranean Climate (Csa)
Sari,36.563,53.06,3.0,2000.0,30.8102,-23.0,
Semnan,35.576,53.388,3.0,2000.0,16.5273,1130.0,
Shahr-e Kord,32.326,50.859,3.0,2000.0,12.6505,2076.0,
Shiraz,29.591,52.583,3.0,2000.0,2.9586,1491.0,Mediterranean Climate (Csa)
Tabriz,38.079,46.291,3.0,2000.0,43.5627,1365.0,Cold Semi-Arid Climate (BSk)
Tehran,35.689,51.389,3.0,2000.0,31.0142,1190.0,Cold Semi-Arid Climate (BSk)
Yasuj,30.668,51.594,3.0,2000.0,6.8354,1870.0,
Yazd,31.897,54.367,3.0,2000.0,1.3263,1216.0,Cold Desert Climate (BWk)
Zahedan,29.497,60.872,3.0,2000.0,15.201,1372.0,
Zanjan,36.674,48.484,3.0,2000.0,81.0042,1638.0,
Nowshahr,36.649,51.496,3.0,2000.0,72.82260000000001,-21.0,
Ahvaz,31.318,48.669,4.0,2000.0,1.1222,20.0,Desert Climate (BWh)
Arak,34.091,49.689,4.0,2000.0,13.4667,1708.0,Cold Semi-Arid Climate (BSk)
Ardabil,38.249,48.295,4.0,2000.0,24.791,1350.0,Humid Continental Climate (Dsb)
